appliance_name,start_time,end_time,is_negative
Ballon d'eau chaude,2025-11-05T09:16:37+01:00,2025-11-05T09:28:26+01:00,True
Ballon d'eau chaude,2025-11-04T14:51:00+01:00,2025-11-04T14:58:00+01:00,False
Ballon d'eau chaude,2025-11-04T14:23:30+01:00,2025-11-04T14:36:00+01:00,False
Chauffage à bain d'huile,2025-11-04T07:29:00+01:00,2025-11-04T08:30:30+01:00,False
Chauffage à bain d'huile,2025-11-03T22:59:30+01:00,2025-11-03T23:44:00+01:00,False
Chauffage à bain d'huile,2025-11-03T04:42:30+01:00,2025-11-03T05:11:30+01:00,False
Chauffage à bain d'huile,2025-11-03T03:31:30+01:00,2025-11-03T04:01:30+01:00,False
Chauffage à bain d'huile,2025-11-03T02:10:00+01:00,2025-11-03T02:44:00+01:00,False
Chauffage à bain d'huile,2025-11-03T00:52:00+01:00,2025-11-03T01:25:30+01:00,False
Chauffage à bain d'huile,2025-11-02T23:05:00+01:00,2025-11-02T23:28:30+01:00,False
Chauffage à bain d'huile,2025-11-02T21:31:00+01:00,2025-11-02T21:57:30+01:00,False
Chauffage à bain d'huile,2025-11-02T20:54:30+01:00,2025-11-02T21:04:00+01:00,False
Chauffage à bain d'huile,2025-11-02T20:15:00+01:00,2025-11-02T20:30:30+01:00,False
Chauffage à bain d'huile,2025-11-02T19:10:30+01:00,2025-11-02T19:31:30+01:00,False
Ballon d'eau chaude,2025-10-31T02:47:30+01:00,2025-10-31T02:58:30+01:00,False
Ballon d'eau chaude,2025-10-29T03:23:00+01:00,2025-10-29T03:33:00+01:00,False
Ballon d'eau chaude,2025-10-27T23:53:57+01:00,2025-10-28T00:09:49+01:00,False
Chauffage à bain d'huile,2025-10-27T09:53:20+01:00,2025-10-27T10:15:50+01:00,True
Sèche-Linge,2025-10-27T09:53:00+01:00,2025-10-27T10:37:00+01:00,False
Lave-Linge,2025-10-27T09:06:30+01:00,2025-10-27T09:49:00+01:00,False
Ballon d'eau chaude,2025-10-26T23:53:57+01:00,2025-10-27T00:07:53+01:00,False
Ballon d'eau chaude,2025-10-26T14:23:57+01:00,2025-10-26T14:45:35+01:00,False
Ballon d'eau chaude,2025-10-25T16:47:00+02:00,2025-10-25T16:54:00+02:00,False
Ballon d'eau chaude,2025-10-25T14:23:57+02:00,2025-10-25T14:51:38+02:00,False
Ballon d'eau chaude,2025-10-25T11:09:27+02:00,2025-10-25T11:22:04+02:00,True
Ballon d'eau chaude,2025-10-25T09:15:45+02:00,2025-10-25T09:26:59+02:00,True
Ballon d'eau chaude,2025-10-24T23:53:56+02:00,2025-10-25T00:08:41+02:00,False
Ballon d'eau chaude,2025-10-24T14:23:56+02:00,2025-10-24T14:51:08+02:00,False
Ballon d'eau chaude,2025-10-23T23:53:57+02:00,2025-10-24T00:11:12+02:00,False
Ballon d'eau chaude,2025-10-23T14:23:56+02:00,2025-10-23T14:48:54+02:00,False
Ballon d'eau chaude,2025-10-22T23:53:56+02:00,2025-10-23T00:08:43+02:00,False
Ballon d'eau chaude,2025-10-22T14:23:56+02:00,2025-10-22T14:36:41+02:00,False
